PatchID,patch,distSum,avgRip,avgImp,dams,ripMin,impMax,HWsigBY,LDsigBY,genic.sigBY,N,Nsamples,meanAr,sdAr,patchAr,fst,fstP
10,102,0.228932,77.44798075,0.192565729,0,65.454545,0.29407,1,0,0,16,2,3.410113005,0.070931483,3.547089783,-0.011695267,0.443556444
9,162,1.4286828,76.96986511,0.354477232,0,65.211268,0.528827,0,0,0,17,2,3.273114007,0.289908736,3.423962268,-0.000558552,0.414585415
5,636,2.3096241,65.15066663,1.921107812,0,63.688312,1.979469,0,0,0,32,2,3.558057729,0.021890154,3.634820176,0.02848083,0.082917083
16,640,4.167356,61.65906942,0.883687691,0,48.173913,0.946919,0,0,0,18,2,3.82595673,0.060289514,3.922859812,0.009041662,0.568431568
1,185,4.6226672,82.64673078,0.256266011,0,49,1.276005,0,0,0,38,3,3.63621242,0.321505202,3.922845897,0.019653271,0.002997003
0,337,4.7187598,66.24151653,2.146033404,0,63.216216,2.52241,1,0,1,30,2,4.052663805,0.272836004,4.269504081,0.030710337,0.041958042
2,169,5.2260868,65.67154927,1.130643134,0,44.5,2.533835,0,1,3,27,2,3.943679527,0.30089349,3.989465008,0.033031136,0.033966034
19,982,5.8974213,65.03687907,1.108796034,0,44.5,1.671985,0,1,1,12,2,2.949828143,0.817833351,3.490224283,0.092164502,0.006993007
18,394,6.0105289,63.80102889,0.415022308,0,48.365854,0.557476,1,0,0,19,2,4.143058758,0.028945962,4.298422945,0.001563606,0.336663337
3,291,7.1349087,68.16162276,0.589634693,0,32.636364,0.731547,1,3,3,37,2,4.077106834,0.336119876,4.22410746,0.038961965,0.000999001
14,111,7.8903317,83.5109351,0.65682311,0,63.2,0.840655,1,1,2,27,2,3.857827979,0.197485102,4.128986609,0.037287728,0.000999001
11,126,8.6440083,76.9174657,1.13769187,0,55.727273,1.440635,2,5,3,46,3,3.450329705,0.092014867,3.623797245,0.036211737,0.000999001
