"Metric","Model","AIC","BIC","Rsq","AdjRsq","pval"
"LD","originalGLM$LDsigBY/28~originalGLM$dams+originalGLM$impMax+originalGLM$ripMin+originalGLM$distSum","69.59","74.32","0.72","0.64","2.381327812756e-06"
"LD","originalGLM$LDsigBY/28~originalGLM$dams+originalGLM$impMax+originalGLM$ripMin","69.47","73.25","0.67","0.6","1.16735038287399e-08"
"LD","originalGLM$LDsigBY/28~originalGLM$dams+originalGLM$impMax","67.83","70.66","0.65","0.6","7.54499988883712e-09"
"LD","originalGLM$LDsigBY/28~originalGLM$dams","79.04","80.93","0.41","0.37","1.24326458254506e-09"
"LD","originalGLM$LDsigBY/28~1","122.27","123.21","0","0",NA
"HW","originalGLM$HWsigBY/8~originalGLM$dams+originalGLM$impMax+originalGLM$ripMin+originalGLM$distSum","41.98","46.7","0.59","0.48","0.00965476308673232"
"HW","originalGLM$HWsigBY/8~originalGLM$dams+originalGLM$impMax+originalGLM$distSum","40.04","43.82","0.6","0.52","0.00197929597131732"
"HW","originalGLM$HWsigBY/8~originalGLM$dams+originalGLM$impMax","38.96","41.79","0.57","0.52","0.00226608529947502"
"HW","originalGLM$HWsigBY/8~originalGLM$dams","40.2","42.09","0.39","0.35","0.00117433197391963"
"HW","originalGLM$HWsigBY/8~1","49.82","50.76","0","0",NA
"GD","originalGLM$genic.sigBY/8~originalGLM$dams+originalGLM$impMax+originalGLM$ripMin+originalGLM$distSum","67.03","71.75","0.69","0.6","0.00812907424042537"
"GD","originalGLM$genic.sigBY/8~originalGLM$dams+originalGLM$impMax+originalGLM$distSum","65.06","68.83","0.69","0.62","0.0058606531211257"
"GD","originalGLM$genic.sigBY/8~originalGLM$dams+originalGLM$distSum","70.64","73.48","0.57","0.52","0.00392058852443588"
"GD","originalGLM$genic.sigBY/8~originalGLM$distSum","76.97","78.86","0.46","0.43","3.81377807704753e-06"
"GD","originalGLM$genic.sigBY/8~1","104.38","105.33","0","0",NA
"FST","originalGLM$fst~originalGLM$dams+originalGLM$impMax+originalGLM$ripMin+originalGLM$distSum","-65.21","-59.55","0.39","0.22","0.0876812774287868"
"FST","originalGLM$fst~originalGLM$dams+originalGLM$ripMin+originalGLM$distSum","-66.5","-61.78","0.37","0.24","0.0829432230370225"
"FST","originalGLM$fst~originalGLM$dams+originalGLM$ripMin","-66.63","-62.85","0.31","0.22","0.0175505156671963"
"FST","originalGLM$fst~originalGLM$dams","-68.34","-65.51","0.29","0.25","0.0162747114468246"
"FST","originalGLM$fst~1","-63.71","-61.82","0","0",NA
